household_id,lat,lon,district,sector,urban,children_under5,avg_meal_count,water_source,sanitation_tier,income_band
HH0001,-1.903218,30.10377,Nyarugenge,Gitega,1,1,3.5,piped,low,middle
HH0002,-1.893358,30.048946,Nyarugenge,Gitega,1,0,2.6,piped,high,low
HH0003,-1.968276,30.133312,Nyarugenge,Kimisagara,1,1,2.9,protected_well,high,low
HH0004,-2.000314,30.087288,Nyarugenge,Kigali,1,3,1.6,protected_well,high,middle
HH0005,-2.004213,30.054113,Nyarugenge,Kigali,1,0,1.9,surface,high,middle
HH0006,-1.975021,30.111162,Nyarugenge,Kigali,1,2,2.8,protected_well,high,low
HH0007,-2.023822,30.103908,Nyarugenge,Gitega,1,3,1.9,piped,high,middle
HH0008,-2.002632,29.996325,Nyarugenge,Rwezamenyo,1,0,2.6,protected_well,medium,middle
HH0009,-1.935527,30.026632,Nyarugenge,Gitega,1,3,2.4,piped,medium,low
HH0010,-1.98757,29.987328,Nyarugenge,Rwezamenyo,1,3,3.2,piped,high,middle
HH0011,-1.959978,30.108243,Nyarugenge,Nyamirambo,1,3,2.8,piped,medium,middle
HH0012,-1.999197,30.058167,Nyarugenge,Gitega,1,4,2.4,piped,high,middle
HH0013,-1.96711,29.992024,Nyarugenge,Gitega,1,1,2.8,protected_well,high,middle
HH0014,-1.869932,30.1026,Nyarugenge,Gitega,1,1,2.0,surface,low,middle
HH0015,-1.992622,30.026953,Nyarugenge,Kigali,1,2,2.4,piped,high,high
HH0016,-1.955865,30.078369,Nyarugenge,Kigali,1,5,2.8,piped,low,low
HH0017,-1.972222,30.001124,Nyarugenge,Rwezamenyo,1,4,2.5,protected_well,high,middle
HH0018,-1.969501,30.072546,Nyarugenge,Rwezamenyo,1,0,2.5,protected_well,high,low
HH0019,-1.946487,30.128052,Nyarugenge,Gitega,1,0,2.2,surface,high,low
HH0020,-1.954774,29.981458,Nyarugenge,Rwezamenyo,1,0,2.5,piped,high,middle
HH0021,-1.980003,30.083508,Nyarugenge,Kigali,1,1,2.8,unprotected_well,high,middle
HH0022,-2.019014,30.066776,Nyarugenge,Rwezamenyo,1,0,1.6,protected_well,high,low
HH0023,-1.942591,30.018954,Nyarugenge,Nyamirambo,1,1,2.1,protected_well,medium,middle
HH0024,-1.882332,30.097777,Nyarugenge,Kigali,0,5,3.5,protected_well,high,low
HH0025,-1.965215,29.993115,Nyarugenge,Nyamirambo,1,0,2.8,unprotected_well,medium,middle
HH0026,-1.892022,30.002525,Nyarugenge,Rwezamenyo,1,4,1.7,piped,low,high
HH0027,-1.869508,30.058119,Nyarugenge,Kimisagara,1,1,3.1,protected_well,low,high
HH0028,-2.005507,30.059013,Nyarugenge,Gitega,1,1,2.9,piped,high,high
HH0029,-2.004031,29.997801,Nyarugenge,Kigali,1,0,2.8,protected_well,high,low
HH0030,-1.8721,30.023831,Nyarugenge,Nyamirambo,0,4,2.7,unprotected_well,medium,low
HH0031,-1.957942,30.132597,Nyarugenge,Kimisagara,0,5,1.4,piped,low,low
HH0032,-2.022146,29.995463,Nyarugenge,Kimisagara,1,0,3.1,unprotected_well,medium,middle
HH0033,-1.928503,30.044011,Nyarugenge,Kigali,1,4,3.2,protected_well,high,middle
HH0034,-1.985346,30.015866,Nyarugenge,Kigali,1,3,2.1,piped,medium,low
HH0035,-1.893054,30.027654,Nyarugenge,Kimisagara,1,2,1.8,protected_well,high,high
HH0036,-2.006522,29.981384,Nyarugenge,Gitega,1,3,1.8,unprotected_well,high,middle
HH0037,-1.974121,30.058724,Nyarugenge,Gitega,1,3,2.3,piped,high,middle
HH0038,-1.985098,30.069397,Nyarugenge,Nyamirambo,1,4,2.0,unprotected_well,high,high
HH0039,-2.016686,30.125975,Nyarugenge,Gitega,1,5,3.2,piped,high,middle
HH0040,-1.900284,30.080797,Nyarugenge,Kimisagara,1,0,3.0,protected_well,low,low
HH0041,-1.963386,30.08033,Nyarugenge,Kimisagara,1,5,2.4,piped,medium,middle
HH0042,-1.966198,30.036623,Nyarugenge,Rwezamenyo,1,5,2.0,piped,high,middle
HH0043,-1.948054,30.030538,Nyarugenge,Kimisagara,1,4,3.3,piped,medium,middle
