household_id,lat,lon,district,sector,urban,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,risk_score,risk_label,top_drivers
HH0001,-1.903218,30.10377,Nyarugenge,Gitega,1,1,3.5,piped,low,middle,0.2617,Low,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0002,-1.893358,30.048946,Nyarugenge,Gitega,1,0,2.6,piped,high,low,0.0794,Low,"['Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0003,-1.968276,30.133312,Nyarugenge,Kimisagara,1,1,2.9,protected_well,high,low,0.1326,Low,"['Low household income', 'Unsafe water source', 'High number of children under 5']"
HH0004,-2.000314,30.087288,Nyarugenge,Kigali,1,3,1.6,protected_well,high,middle,0.1332,Low,"['Low meal frequency (< 2 meals/day)', 'Unsafe water source', 'High number of children under 5']"
HH0005,-2.004213,30.054113,Nyarugenge,Kigali,1,0,1.9,surface,high,middle,0.3757,Medium,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0006,-1.975021,30.111162,Nyarugenge,Kigali,1,2,2.8,protected_well,high,low,0.1624,Low,"['Low household income', 'Unsafe water source', 'High number of children under 5']"
HH0007,-2.023822,30.103908,Nyarugenge,Gitega,1,3,1.9,piped,high,middle,0.0863,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0008,-2.002632,29.996325,Nyarugenge,Rwezamenyo,1,0,2.6,protected_well,medium,middle,0.1247,Low,"['Poor sanitation', 'Unsafe water source', 'Low meal frequency (< 2 meals/day)']"
HH0009,-1.935527,30.026632,Nyarugenge,Gitega,1,3,2.4,piped,medium,low,0.3276,Low,"['Poor sanitation', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0010,-1.98757,29.987328,Nyarugenge,Rwezamenyo,1,3,3.2,piped,high,middle,0.0389,Low,"['High number of children under 5', 'Low household income']"
HH0011,-1.959978,30.108243,Nyarugenge,Nyamirambo,1,3,2.8,piped,medium,middle,0.1098,Low,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0012,-1.999197,30.058167,Nyarugenge,Gitega,1,4,2.4,piped,high,middle,0.073,Low,"['High number of children under 5', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0013,-1.96711,29.992024,Nyarugenge,Gitega,1,1,2.8,protected_well,high,middle,0.0572,Low,"['Unsafe water source', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0014,-1.869932,30.1026,Nyarugenge,Gitega,1,1,2.0,surface,low,middle,0.8463,High,"['Unsafe water source', 'Poor sanitation', 'Low meal frequency (< 2 meals/day)']"
HH0015,-1.992622,30.026953,Nyarugenge,Kigali,1,2,2.4,piped,high,high,0.0383,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0016,-1.955865,30.078369,Nyarugenge,Kigali,1,5,2.8,piped,low,low,0.7139,High,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0017,-1.972222,30.001124,Nyarugenge,Rwezamenyo,1,4,2.5,protected_well,high,middle,0.1003,Low,"['High number of children under 5', 'Unsafe water source', 'Low meal frequency (< 2 meals/day)']"
HH0018,-1.969501,30.072546,Nyarugenge,Rwezamenyo,1,0,2.5,protected_well,high,low,0.1381,Low,"['Low household income', 'Unsafe water source', 'Low meal frequency (< 2 meals/day)']"
HH0019,-1.946487,30.128052,Nyarugenge,Gitega,1,0,2.2,surface,high,low,0.6586,High,"['Unsafe water source', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0020,-1.954774,29.981458,Nyarugenge,Rwezamenyo,1,0,2.5,piped,high,middle,0.0375,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0021,-1.980003,30.083508,Nyarugenge,Kigali,1,1,2.8,unprotected_well,high,middle,0.1347,Low,"['Unsafe water source', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0022,-2.019014,30.066776,Nyarugenge,Rwezamenyo,1,0,1.6,protected_well,high,low,0.2001,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'Unsafe water source']"
HH0023,-1.942591,30.018954,Nyarugenge,Nyamirambo,1,1,2.1,protected_well,medium,middle,0.1706,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Unsafe water source']"
HH0024,-1.882332,30.097777,Nyarugenge,Kigali,0,5,3.5,protected_well,high,low,0.2352,Low,"['Low household income', 'High number of children under 5', 'Unsafe water source']"
HH0025,-1.965215,29.993115,Nyarugenge,Nyamirambo,1,0,2.8,unprotected_well,medium,middle,0.2694,Low,"['Unsafe water source', 'Poor sanitation', 'Low household income']"
HH0026,-1.892022,30.002525,Nyarugenge,Rwezamenyo,1,4,1.7,piped,low,high,0.3251,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0027,-1.869508,30.058119,Nyarugenge,Kimisagara,1,1,3.1,protected_well,low,high,0.227,Low,"['Poor sanitation', 'Unsafe water source', 'High number of children under 5']"
HH0028,-2.005507,30.059013,Nyarugenge,Gitega,1,1,2.9,piped,high,high,0.0113,Low,"['High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0029,-2.004031,29.997801,Nyarugenge,Kigali,1,0,2.8,protected_well,high,low,0.1191,Low,"['Low household income', 'Unsafe water source', 'Low meal frequency (< 2 meals/day)']"
HH0030,-1.8721,30.023831,Nyarugenge,Nyamirambo,0,4,2.7,unprotected_well,medium,low,0.7121,High,"['Unsafe water source', 'Poor sanitation', 'Low household income']"
HH0031,-1.957942,30.132597,Nyarugenge,Kimisagara,0,5,1.4,piped,low,low,0.7985,High,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0032,-2.022146,29.995463,Nyarugenge,Kimisagara,1,0,3.1,unprotected_well,medium,middle,0.2515,Low,"['Unsafe water source', 'Poor sanitation', 'Low household income']"
HH0033,-1.928503,30.044011,Nyarugenge,Kigali,1,4,3.2,protected_well,high,middle,0.0763,Low,"['High number of children under 5', 'Unsafe water source', 'Low household income']"
HH0034,-1.985346,30.015866,Nyarugenge,Kigali,1,3,2.1,piped,medium,low,0.3585,Medium,"['Poor sanitation', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0035,-1.893054,30.027654,Nyarugenge,Kimisagara,1,2,1.8,protected_well,high,high,0.0855,Low,"['Low meal frequency (< 2 meals/day)', 'Unsafe water source', 'High number of children under 5']"
HH0036,-2.006522,29.981384,Nyarugenge,Gitega,1,3,1.8,unprotected_well,high,middle,0.2494,Low,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0037,-1.974121,30.058724,Nyarugenge,Gitega,1,3,2.3,piped,high,middle,0.0689,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0038,-1.985098,30.069397,Nyarugenge,Nyamirambo,1,4,2.0,unprotected_well,high,high,0.1649,Low,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0039,-2.016686,30.125975,Nyarugenge,Gitega,1,5,3.2,piped,high,middle,0.0552,Low,"['High number of children under 5', 'Low household income']"
HH0040,-1.900284,30.080797,Nyarugenge,Kimisagara,1,0,3.0,protected_well,low,low,0.6595,High,"['Poor sanitation', 'Low household income', 'Unsafe water source']"
HH0041,-1.963386,30.08033,Nyarugenge,Kimisagara,1,5,2.4,piped,medium,middle,0.1645,Low,"['Poor sanitation', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0042,-1.966198,30.036623,Nyarugenge,Rwezamenyo,1,5,2.0,piped,high,middle,0.1002,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0043,-1.948054,30.030538,Nyarugenge,Kimisagara,1,4,3.3,piped,medium,middle,0.113,Low,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0044,-1.923733,30.024105,Nyarugenge,Gitega,1,5,2.3,protected_well,medium,low,0.5719,Medium,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0045,-2.009785,30.094115,Nyarugenge,Nyamirambo,1,5,2.5,piped,medium,low,0.4035,Medium,"['Poor sanitation', 'Low household income', 'High number of children under 5']"
HH0046,-1.930011,30.10322,Nyarugenge,Rwezamenyo,1,0,3.0,unprotected_well,high,low,0.3026,Low,"['Unsafe water source', 'Low household income']"
HH0047,-1.997593,30.068392,Nyarugenge,Gitega,1,0,2.7,unprotected_well,high,middle,0.1241,Low,"['Unsafe water source', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0048,-1.946255,30.073935,Nyarugenge,Nyamirambo,1,0,3.0,piped,medium,low,0.1715,Low,"['Poor sanitation', 'Low household income']"
HH0049,-1.901109,30.085397,Nyarugenge,Gitega,0,2,2.3,protected_well,medium,middle,0.1777,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Unsafe water source']"
HH0050,-1.97469,30.003218,Nyarugenge,Rwezamenyo,1,3,2.2,unprotected_well,medium,middle,0.4538,Medium,"['Unsafe water source', 'Poor sanitation', 'Low meal frequency (< 2 meals/day)']"
HH0051,-1.875218,30.102848,Nyarugenge,Kimisagara,1,0,2.6,unprotected_well,high,middle,0.1298,Low,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0052,-2.006043,30.114085,Nyarugenge,Rwezamenyo,1,4,3.4,piped,low,middle,0.3794,Medium,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0053,-1.892936,30.025257,Nyarugenge,Kimisagara,1,3,2.4,piped,medium,middle,0.1312,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0054,-2.007306,30.137526,Nyarugenge,Rwezamenyo,1,0,3.0,piped,high,low,0.0594,Low,['Low household income']
HH0055,-1.92098,29.992471,Nyarugenge,Kigali,1,3,2.8,piped,medium,high,0.0751,Low,"['Poor sanitation', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0056,-1.993287,30.123702,Nyarugenge,Gitega,1,5,3.1,piped,high,high,0.0344,Low,['High number of children under 5']
HH0057,-1.986832,30.113905,Nyarugenge,Gitega,1,4,3.1,piped,high,high,0.0275,Low,['High number of children under 5']
HH0058,-1.890923,29.984424,Nyarugenge,Kigali,1,3,2.7,protected_well,low,low,0.7454,High,"['Poor sanitation', 'Low household income', 'Unsafe water source']"
HH0059,-2.000166,30.095539,Nyarugenge,Kimisagara,1,3,3.2,piped,medium,middle,0.0995,Low,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0060,-2.01628,30.076609,Nyarugenge,Gitega,1,3,2.5,piped,medium,low,0.3174,Low,"['Poor sanitation', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0061,-1.868196,30.05137,Nyarugenge,Kigali,1,2,1.9,unprotected_well,medium,high,0.2658,Low,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Poor sanitation']"
HH0062,-1.976785,30.070483,Nyarugenge,Gitega,1,0,3.4,protected_well,medium,high,0.0681,Low,"['Poor sanitation', 'Unsafe water source']"
HH0063,-1.949133,29.997075,Nyarugenge,Nyamirambo,1,2,2.3,protected_well,low,high,0.3193,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Unsafe water source']"
HH0064,-1.923459,30.04389,Nyarugenge,Kimisagara,1,3,2.7,piped,high,middle,0.0517,Low,"['High number of children under 5', 'Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0065,-1.949139,30.014095,Nyarugenge,Nyamirambo,1,5,2.3,piped,medium,middle,0.1708,Low,"['Poor sanitation', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0066,-1.974406,30.103989,Nyarugenge,Kimisagara,1,0,2.8,protected_well,medium,middle,0.1138,Low,"['Poor sanitation', 'Unsafe water source', 'Low household income']"
HH0067,-1.883176,30.125369,Nyarugenge,Kigali,1,5,3.0,piped,medium,middle,0.1285,Low,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0068,-1.945937,29.996537,Nyarugenge,Kimisagara,1,3,3.2,piped,medium,middle,0.0995,Low,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0069,-1.974777,30.096831,Nyarugenge,Kimisagara,1,3,1.8,protected_well,high,middle,0.1232,Low,"['Low meal frequency (< 2 meals/day)', 'Unsafe water source', 'High number of children under 5']"
HH0070,-1.928866,29.997148,Nyarugenge,Kigali,1,2,1.8,protected_well,low,middle,0.57,Medium,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'Unsafe water source']"
HH0071,-1.912135,30.040055,Nyarugenge,Kimisagara,1,2,2.7,surface,low,low,0.8614,High,"['Unsafe water source', 'Poor sanitation', 'Low household income']"
HH0072,-1.998455,30.111809,Nyarugenge,Gitega,1,1,1.8,piped,high,middle,0.0743,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0073,-1.962188,29.990808,Nyarugenge,Rwezamenyo,0,3,2.1,unprotected_well,low,low,0.8475,High,"['Poor sanitation', 'Unsafe water source', 'Low household income']"
HH0074,-1.879863,29.985144,Nyarugenge,Kigali,1,0,1.9,piped,high,high,0.0451,Low,['Low meal frequency (< 2 meals/day)']
HH0075,-1.986013,30.112974,Nyarugenge,Rwezamenyo,1,4,1.7,piped,high,middle,0.1043,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0076,-1.966343,30.064324,Nyarugenge,Kigali,1,2,1.1,protected_well,medium,low,0.5709,Medium,"['Low meal frequency (< 2 meals/day)', 'Poor sanitation', 'Low household income']"
HH0077,-1.879472,30.07194,Nyarugenge,Kigali,1,4,2.3,protected_well,high,low,0.2638,Low,"['Low household income', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0078,-1.961232,30.124774,Nyarugenge,Nyamirambo,1,5,1.7,piped,high,middle,0.1142,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0079,-1.953287,30.027206,Nyarugenge,Nyamirambo,1,1,3.4,piped,high,high,0.0073,Low,['High number of children under 5']
HH0080,-1.867911,30.077257,Nyarugenge,Kimisagara,1,0,2.8,piped,high,middle,0.0251,Low,"['Low household income', 'Low meal frequency (< 2 meals/day)']"
HH0081,-1.886312,29.996257,Nyarugenge,Rwezamenyo,1,1,3.1,protected_well,low,middle,0.3967,Medium,"['Poor sanitation', 'Unsafe water source', 'Low household income']"
HH0082,-1.867468,30.024117,Nyarugenge,Kigali,1,5,3.4,piped,medium,middle,0.1285,Low,"['Poor sanitation', 'High number of children under 5', 'Low household income']"
HH0083,-1.946648,30.135686,Nyarugenge,Kimisagara,1,1,3.1,protected_well,high,high,0.0285,Low,"['Unsafe water source', 'High number of children under 5']"
HH0084,-1.936126,30.10633,Nyarugenge,Gitega,1,0,1.2,surface,high,low,0.7344,High,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0085,-1.916951,30.092121,Nyarugenge,Kigali,0,5,1.3,surface,high,low,0.8142,High,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0086,-1.987474,30.077504,Nyarugenge,Gitega,1,0,1.1,unprotected_well,medium,low,0.7314,High,"['Low meal frequency (< 2 meals/day)', 'Unsafe water source', 'Poor sanitation']"
HH0087,-1.881698,30.085458,Nyarugenge,Kimisagara,1,3,2.3,piped,medium,middle,0.1367,Low,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0088,-1.930549,30.04151,Nyarugenge,Nyamirambo,1,0,1.7,unprotected_well,high,low,0.4403,Medium,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Low household income']"
HH0089,-1.895811,30.137799,Nyarugenge,Kimisagara,1,4,2.9,unprotected_well,high,high,0.1162,Low,"['Unsafe water source', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0090,-1.912859,30.073234,Nyarugenge,Gitega,1,2,3.5,piped,high,middle,0.0313,Low,"['Low household income', 'High number of children under 5']"
HH0091,-1.992683,29.980827,Nyarugenge,Kigali,1,0,1.6,unprotected_well,high,high,0.1335,Low,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)']"
HH0092,-1.904686,30.064537,Nyarugenge,Rwezamenyo,1,2,3.4,protected_well,high,middle,0.057,Low,"['Unsafe water source', 'Low household income', 'High number of children under 5']"
HH0093,-1.906229,30.072519,Nyarugenge,Kimisagara,1,5,2.6,unprotected_well,high,middle,0.244,Low,"['Unsafe water source', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
HH0094,-1.88511,30.02332,Nyarugenge,Kigali,1,5,1.8,piped,high,middle,0.1095,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0095,-1.917064,30.108342,Nyarugenge,Nyamirambo,1,5,3.5,protected_well,medium,middle,0.1991,Low,"['Poor sanitation', 'High number of children under 5', 'Unsafe water source']"
HH0096,-1.920532,30.130856,Nyarugenge,Nyamirambo,0,2,1.3,surface,medium,low,0.8486,High,"['Unsafe water source', 'Low meal frequency (< 2 meals/day)', 'Poor sanitation']"
HH0097,-1.985629,29.988485,Nyarugenge,Nyamirambo,1,4,1.1,piped,high,low,0.2569,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0098,-1.963479,29.987685,Nyarugenge,Kigali,1,0,1.7,piped,high,high,0.0532,Low,['Low meal frequency (< 2 meals/day)']
HH0099,-2.007069,30.116042,Nyarugenge,Kimisagara,1,1,1.5,piped,high,middle,0.0871,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0100,-1.900107,30.112593,Nyarugenge,Kigali,1,2,2.4,piped,high,middle,0.0566,Low,"['Low meal frequency (< 2 meals/day)', 'Low household income', 'High number of children under 5']"
HH0101,-1.972082,30.126862,Nyarugenge,Kigali,1,5,2.0,piped,high,middle,0.1002,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5', 'Low household income']"
HH0102,-2.002887,30.125012,Nyarugenge,Rwezamenyo,1,4,1.6,piped,medium,high,0.139,Low,"['Low meal frequency (< 2 meals/day)', 'Poor sanitation', 'High number of children under 5']"
HH0103,-1.933926,30.072431,Nyarugenge,Rwezamenyo,1,4,2.0,piped,high,high,0.0685,Low,"['Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0104,-1.90133,30.114879,Nyarugenge,Kimisagara,1,3,1.8,piped,low,middle,0.4639,Medium,"['Poor sanitation', 'Low meal frequency (< 2 meals/day)', 'High number of children under 5']"
HH0105,-1.894895,30.028944,Nyarugenge,Rwezamenyo,1,5,2.2,unprotected_well,high,middle,0.2787,Low,"['Unsafe water source', 'High number of children under 5', 'Low meal frequency (< 2 meals/day)']"
